image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/51n3ntywnbL.jpg,866516,height,4.5 centimetre
https://m.media-amazon.com/images/I/51GSSY0AgFL.jpg,558806,height,6.0 centimetre
https://m.media-amazon.com/images/I/41t4OwiQWHL.jpg,846116,height,390.0 millimetre
https://m.media-amazon.com/images/I/51KD3PogmHL.jpg,470067,height,278.0 millimetre
https://m.media-amazon.com/images/I/51TlIaftjVL.jpg,866516,height,18.0 centimetre
https://m.media-amazon.com/images/I/51oHLZsGb8L.jpg,569206,height,2.3 centimetre
https://m.media-amazon.com/images/I/615KNHXvhvL.jpg,731252,height,10.5 centimetre
https://m.media-amazon.com/images/I/51stipIArnL.jpg,416664,height,10.0 centimetre
https://m.media-amazon.com/images/I/519e9ugS2VL.jpg,611510,height,36.0 centimetre
https://m.media-amazon.com/images/I/513HNv7vViL.jpg,752266,height,23.0 centimetre
https://m.media-amazon.com/images/I/615kzzQxfjL.jpg,497735,height,21.0 centimetre
https://m.media-amazon.com/images/I/41e8ZDgAQpL.jpg,949192,height,300.0 centimetre
https://m.media-amazon.com/images/I/611swcs5CZL.jpg,594224,height,55.0 millimetre
https://m.media-amazon.com/images/I/51FH0sJC8JL.jpg,292475,height,2.3 inch
https://m.media-amazon.com/images/I/51oHL+wiXWL.jpg,759408,height,6.7 inch
https://m.media-amazon.com/images/I/5142AtxQOuS.jpg,311997,height,106.0 centimetre
https://m.media-amazon.com/images/I/6194zYJmp7L.jpg,752266,height,3.27 inch
https://m.media-amazon.com/images/I/51ROYHwvV+L.jpg,861555,height,5.1 inch
https://m.media-amazon.com/images/I/515VxIv+GmL.jpg,220662,height,13.5 centimetre
https://m.media-amazon.com/images/I/51i-pBneFXL.jpg,648011,height,90.0 millimetre
https://m.media-amazon.com/images/I/613TiwGLYiL.jpg,120219,height,5.0 centimetre
https://m.media-amazon.com/images/I/51tsOEfo0GL.jpg,436746,height,6.0 centimetre
https://m.media-amazon.com/images/I/61CX9XpfZlL.jpg,849273,height,66.0 centimetre
https://m.media-amazon.com/images/I/518QecWhczL.jpg,220662,height,10.0 centimetre
https://m.media-amazon.com/images/I/616aBfyAfNL.jpg,558806,height,2.8 inch
https://m.media-amazon.com/images/I/51U3iioHV4L.jpg,810266,height,10.6 inch
https://m.media-amazon.com/images/I/51AYh6gfjZL.jpg,142748,height,30.0 centimetre
https://m.media-amazon.com/images/I/61E6CxcuBXL.jpg,276611,height,11.8 inch
https://m.media-amazon.com/images/I/51dDxftsLcL.jpg,442321,height,29.52 inch
https://m.media-amazon.com/images/I/61+mkSZrbQL.jpg,142748,height,10.0 centimetre
https://m.media-amazon.com/images/I/612EVpcchyS.jpg,436746,height,21.0 centimetre
https://m.media-amazon.com/images/I/51ARXIRrHZL.jpg,146860,height,25.5 centimetre
https://m.media-amazon.com/images/I/51JhWtLvm1L.jpg,292475,height,2.5 centimetre
https://m.media-amazon.com/images/I/612rCmKhKXL.jpg,311997,height,57.4 inch
https://m.media-amazon.com/images/I/51baQk0ri2L.jpg,658003,height,27.2 centimetre
https://m.media-amazon.com/images/I/51UdTBnu2VL.jpg,913156,height,5.9 inch
https://m.media-amazon.com/images/I/618vW5Kf1vL.jpg,849273,height,8.5 inch
https://m.media-amazon.com/images/I/518ebgFxs7L.jpg,913156,height,14.0 centimetre
https://m.media-amazon.com/images/I/61D6XOI3KkL.jpg,752266,height,1.5 metre
https://m.media-amazon.com/images/I/616-r+UNXmL.jpg,960361,height,25.0 centimetre
https://m.media-amazon.com/images/I/51fSVUBo75L.jpg,145452,height,6.49 inch
https://m.media-amazon.com/images/I/51+3FHQZCGL.jpg,469317,height,51.0 centimetre
https://m.media-amazon.com/images/I/51QMBhTyYbL.jpg,478357,height,15.0 inch
https://m.media-amazon.com/images/I/61EO35QO+6L.jpg,295706,height,24.0 millimetre
https://m.media-amazon.com/images/I/613mgtksNDL.jpg,913398,height,5.4 inch
https://m.media-amazon.com/images/I/618jgI9oCdL.jpg,550595,height,1.3 inch
https://m.media-amazon.com/images/I/61Do1Hsa-YL.jpg,347404,height,20.0 centimetre
https://m.media-amazon.com/images/I/517qGewi1BL.jpg,478357,height,32.0 inch
https://m.media-amazon.com/images/I/61FEHfEAP5L.jpg,752266,height,3.07 inch
https://m.media-amazon.com/images/I/61-PwuJoJgL.jpg,752266,height,4.49 inch
https://m.media-amazon.com/images/I/51exCT6EOLL.jpg,916768,height,6.7 inch
https://m.media-amazon.com/images/I/51esinVRI1L.jpg,480845,height,0.53 inch
https://m.media-amazon.com/images/I/51QrSwK3BDL.jpg,120219,height,7.5 centimetre
https://m.media-amazon.com/images/I/41mp9RfIfYL.jpg,866516,height,3.0 centimetre
https://m.media-amazon.com/images/I/61Ff42af3fL.jpg,975942,height,3.5 millimetre
https://m.media-amazon.com/images/I/618ipIc0qVL.jpg,970563,height,5.2 inch
https://m.media-amazon.com/images/I/51YV6PTUIAL.jpg,970563,height,29.0 centimetre
https://m.media-amazon.com/images/I/319-+IwbCGL.jpg,108478,height,5.9 inch
https://m.media-amazon.com/images/I/51-AI9C5yiL.jpg,752266,height,140.0 centimetre
https://m.media-amazon.com/images/I/518+iVS++vL.jpg,967281,height,63.0 centimetre
https://m.media-amazon.com/images/I/51YuHAjGQaL.jpg,752266,height,14.01 inch
https://m.media-amazon.com/images/I/6177hikSKXL.jpg,558806,height,2.95 inch
https://m.media-amazon.com/images/I/618pg6A+uML.jpg,178778,height,9.1 centimetre
https://m.media-amazon.com/images/I/615baH1VIKL.jpg,237000,height,12.0 inch
https://m.media-amazon.com/images/I/51T7OJ39gIL.jpg,362818,height,24.0 centimetre
https://m.media-amazon.com/images/I/61D7QoeHvkL.jpg,713408,height,4.0 inch
https://m.media-amazon.com/images/I/51a7J2-Q57L.jpg,931856,height,1.2 metre
https://m.media-amazon.com/images/I/6170H8YrE1L.jpg,675680,height,60.0 centimetre
https://m.media-amazon.com/images/I/41iKGbXwI7L.jpg,752266,height,500.0 millimetre
https://m.media-amazon.com/images/I/51sfWf9WRBS.jpg,594224,height,8.0 centimetre
https://m.media-amazon.com/images/I/51t9W0MWUFL.jpg,483370,height,20.0 centimetre
https://m.media-amazon.com/images/I/619JCUXQ-XL.jpg,681445,height,8.26 inch
https://m.media-amazon.com/images/I/61FqH0TSPZL.jpg,810266,height,4.52 inch
https://m.media-amazon.com/images/I/617-TKuHR6L.jpg,483370,height,10.0 centimetre
https://m.media-amazon.com/images/I/61DkL0KZFcL.jpg,594224,height,3.27 inch
https://m.media-amazon.com/images/I/619p3i19ajL.jpg,178778,height,18.0 centimetre
https://m.media-amazon.com/images/I/51egTAlElsL.jpg,849273,height,43.0 centimetre
https://m.media-amazon.com/images/I/51Nmr5nMRTL.jpg,752266,height,120.0 millimetre
https://m.media-amazon.com/images/I/51jtk3+YC3L.jpg,430434,height,9.2 centimetre
https://m.media-amazon.com/images/I/61F3IYYOdvL.jpg,997176,height,10.0 inch
https://m.media-amazon.com/images/I/61EGT0C62EL.jpg,640408,height,19.0 centimetre
https://m.media-amazon.com/images/I/51Hl4UTHiEL.jpg,640408,height,3.4 inch
https://m.media-amazon.com/images/I/611CK6RfZAL.jpg,823083,height,6.3 inch
https://m.media-amazon.com/images/I/616MTMV0elL.jpg,861555,height,10.0 centimetre
https://m.media-amazon.com/images/I/51wdseSqQPL.jpg,174276,height,1.9 inch
https://m.media-amazon.com/images/I/51toFEMLfmL.jpg,470067,height,325.0 millimetre
https://m.media-amazon.com/images/I/61B1Wu3mm9L.jpg,469317,height,42.1 inch
https://m.media-amazon.com/images/I/519VJLJjVyL.jpg,866516,height,32.0 centimetre
https://m.media-amazon.com/images/I/517k4QuV0DL.jpg,416664,height,1252.0 millimetre
https://m.media-amazon.com/images/I/61-+kx+sYrL.jpg,311997,height,2.7 inch
https://m.media-amazon.com/images/I/61+8J0eJqwL.jpg,311997,height,8.0 centimetre
https://m.media-amazon.com/images/I/614QlIDVQVL.jpg,945489,height,11.1 centimetre
https://m.media-amazon.com/images/I/51XDZtKMr+L.jpg,711228,height,22.0 centimetre
https://m.media-amazon.com/images/I/61Bttqw3SpL.jpg,745387,height,80.0 centimetre
https://m.media-amazon.com/images/I/41glLB+M9qL.jpg,721522,height,0.67 centimetre
https://m.media-amazon.com/images/I/51nbb8agxFL.jpg,178778,height,13.5 centimetre
https://m.media-amazon.com/images/I/617a9Tp+DiL.jpg,442321,height,29.0 inch
https://m.media-amazon.com/images/I/6191ZhxyNmL.jpg,963595,height,10.0 millimetre
https://m.media-amazon.com/images/I/51za3gy2ClL.jpg,347404,height,4.9 inch
https://m.media-amazon.com/images/I/51iFuo5PRmL.jpg,810266,height,6.7 inch
https://m.media-amazon.com/images/I/51p0tD7FnbL.jpg,558832,height,11.5 centimetre
https://m.media-amazon.com/images/I/61BCzUKAGeL.jpg,524117,height,290.0 millimetre
https://m.media-amazon.com/images/I/514uQ-omehL.jpg,403664,height,28.5 centimetre
https://m.media-amazon.com/images/I/51TW1ullm7L.jpg,801829,height,42.0 inch
https://m.media-amazon.com/images/I/51igl0bmDFL.jpg,988675,height,12.0 centimetre
https://m.media-amazon.com/images/I/51-TIaXAXRL.jpg,296275,height,8.5 centimetre
https://m.media-amazon.com/images/I/61+1rU0Qw8L.jpg,181357,height,30.0 centimetre
https://m.media-amazon.com/images/I/41m17Q0zStL.jpg,801829,height,41.0 inch
https://m.media-amazon.com/images/I/61633X9Vu-L.jpg,524117,height,4.1 centimetre
https://m.media-amazon.com/images/I/615mbq0igIL.jpg,115666,height,17.5 inch
https://m.media-amazon.com/images/I/41vAjiFTo9L.jpg,558832,height,120.0 millimetre
https://m.media-amazon.com/images/I/61FPfzOSIdL.jpg,801829,height,37.5 inch
https://m.media-amazon.com/images/I/51HmBf6GeBL.jpg,945489,height,8.0 centimetre
https://m.media-amazon.com/images/I/31NeXzXBd-L.jpg,276611,height,50.0 centimetre
https://m.media-amazon.com/images/I/51XMWdFTzrL.jpg,966161,height,8.0 centimetre
https://m.media-amazon.com/images/I/51zHNLn3zzL.jpg,728511,height,27.0 centimetre
https://m.media-amazon.com/images/I/51MA4gRl9gL.jpg,922709,height,34.0 centimetre
https://m.media-amazon.com/images/I/619r77r0uXL.jpg,446789,height,63.0 centimetre
https://m.media-amazon.com/images/I/5163YQt2gNL.jpg,483370,height,16.0 centimetre
https://m.media-amazon.com/images/I/51kcDut-IZL.jpg,978900,height,3.0 centimetre
https://m.media-amazon.com/images/I/51nLBWzF+0L.jpg,417434,height,365.0 millimetre
https://m.media-amazon.com/images/I/51VIoQ30a-L.jpg,823083,height,13.0 centimetre
https://m.media-amazon.com/images/I/61GAcauh-fL.jpg,558806,height,3.5 inch
https://m.media-amazon.com/images/I/616FY41EPAL.jpg,861555,height,7.0 centimetre
https://m.media-amazon.com/images/I/51swMCWOcHL.jpg,192915,height,14.0 centimetre
https://m.media-amazon.com/images/I/612baBq6WxL.jpg,860080,height,30.7 inch
https://m.media-amazon.com/images/I/51cOCrQR3lL.jpg,295706,height,140.0 millimetre
https://m.media-amazon.com/images/I/51exBna5loL.jpg,237000,height,83.0 centimetre
https://m.media-amazon.com/images/I/516ypOGFjBL.jpg,866516,height,11.3 centimetre
https://m.media-amazon.com/images/I/51a6rMcHh+L.jpg,149708,height,27.0 inch
https://m.media-amazon.com/images/I/516m4SZuSJL.jpg,237000,height,110.0 centimetre
https://m.media-amazon.com/images/I/51P6lqE9z7L.jpg,589105,height,40.0 centimetre
https://m.media-amazon.com/images/I/51KsW30Q5DL.jpg,558806,height,2.6 inch
https://m.media-amazon.com/images/I/611aarGTf0L.jpg,599772,height,420.0 millimetre
https://m.media-amazon.com/images/I/51LfqsAAnOL.jpg,478357,height,30.0 inch
https://m.media-amazon.com/images/I/51c+OuNYBcL.jpg,810266,height,4.5 inch
https://m.media-amazon.com/images/I/61A0ZjNc-TL.jpg,245959,height,35.0 centimetre
https://m.media-amazon.com/images/I/618DzEh0NXL.jpg,885572,height,115.0 centimetre
https://m.media-amazon.com/images/I/51XtckW6KQS.jpg,145452,height,31.3 centimetre
https://m.media-amazon.com/images/I/61AKvZyRvnL.jpg,178778,height,11.0 centimetre
https://m.media-amazon.com/images/I/51m-IEqWFHL.jpg,347404,height,38.0 centimetre
https://m.media-amazon.com/images/I/513qZMDdWAL.jpg,295706,height,75.0 millimetre
https://m.media-amazon.com/images/I/612fJXEUv-L.jpg,731252,height,12.5 centimetre
https://m.media-amazon.com/images/I/51u1mbkDzpL.jpg,483370,height,108.0 millimetre
https://m.media-amazon.com/images/I/51Kiwc-3zyL.jpg,311997,height,85.0 millimetre
https://m.media-amazon.com/images/I/51AzLGpvzEL.jpg,594224,height,2.2 centimetre
https://m.media-amazon.com/images/I/51W0Pbu4m4L.jpg,613841,height,4.1 inch
https://m.media-amazon.com/images/I/51-iZx-DKDL.jpg,178778,height,23.0 centimetre
https://m.media-amazon.com/images/I/616SOwM1SBL.jpg,164209,height,20.0 inch
https://m.media-amazon.com/images/I/51kX9k51Q9L.jpg,884378,height,120.0 centimetre
